Brand,Product_description,price,Link
Xtep,Men Colourblocked Running Shoes,Rs. 5999,https://www.myntra.com/sports-shoes/xtep/xtep-men-black--white-colourblocked-running-shoes/13472504/buy
ALDO,Women Solid Sneakers,Rs. 7199,https://www.myntra.com/casual-shoes/aldo/aldo-women-black-sneakers/13285026/buy
Geox,Women Slip-On Sneakers,Rs. 8499,https://www.myntra.com/casual-shoes/geox/geox-women-black-sequinned-slip-on-sneakers/10018963/buy
Tommy Hilfiger,Men Solid TS Sport 2 Sneakers,Rs. 6079,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black-solid-ts-sport-2-sneakers/12448840/buy
Tommy Hilfiger,Men Solid Sneakers,Rs. 6079,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black-sneakers/12448814/buy
ALDO,Women Pumps,Rs. 6599,https://www.myntra.com/heels/aldo/aldo-women-black-solid-pumps/13324548/buy
Ruosh,Men Textured Derbys,Rs. 8990,https://www.myntra.com/formal-shoes/ruosh/ruosh-work-men-black-rare-leather-textured-derbys/2035827/buy
Clarks,Men Leather Mid-Top Derbys,Rs. 8999,https://www.myntra.com/casual-shoes/clarks/clarks-men-black-solid-leather-mid-top-derbys/9849855/buy
Tommy Hilfiger,Men LOGO TAPE DRIVER Loafers,Rs. 6019,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black-solid-logo-tape-driver-leather-loafers/13096922/buy
CHARLES & KEITH,Women Sandals,Rs. 5999,https://www.myntra.com/heels/charles--keith/charles--keith-women-black-solid-sandals/13191364/buy
Tommy Hilfiger,Men Colourblocked Sneakers,Rs. 7419,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black--white-colourblocked-sneakers/11662142/buy
Tommy Hilfiger,Men Heritage Leather Sneakers,Rs. 7199,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black-solid-heritage-seasonal-leather-sneakers/12448966/buy
UNDER ARMOUR,Women Charged Breathe TR 2,Rs. 7999,https://www.myntra.com/sports-shoes/under-armour/under-armour-women-black--charcoal-grey-woven-design-charged-breathe-tr-2-training-shoes/12247108/buy
Puma,SPEED Orbiter Running Shoes,Rs. 9699,https://www.myntra.com/sports-shoes/puma/puma-women-black-speed-orbiter-running-shoes/12282290/buy
Tommy Hilfiger,CHUNKY TECH Leather Sneakers,Rs. 7199,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black-chunky-tech-runner-leather-sneakers/12449000/buy
UNDER ARMOUR,Women HOVR Rise 2 Training,Rs. 9999,https://www.myntra.com/sports-shoes/under-armour/under-armour-women-black-hovr-rise-2-training-shoes/12247240/buy
